시군명,업종구분명,시설명,대표자명,교습과정명,전화번호,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
수원시,교습소,송암서예,이한우,서예,031-245-1150,16447,경기도 수원시 팔달구 고등동 55-4번지,경기도 수원시 팔달구 고등로59번길 4,37.2734604,127.0037275
수원시,교습소,위캔영어교습소,김혜영,보습,031-241-3456,16448,경기도 수원시 팔달구 고등동 5-7번지 1층,경기도 수원시 팔달구 동말로106번길 6,37.278344,127.0058136
수원시,교습소,고등주산,하동녀,주산,031-246-9055,16445,경기도 수원시 팔달구 고등동 67-2번지,경기도 수원시 팔달구 고화로 41,37.2729288,127.0061403
수원시,교습소,열호피아노,김은애,음악,031-255-0635,16447,경기도 수원시 팔달구 고등동 49-33번지,경기도 수원시 팔달구 고화로61번길 18,37.274875,127.0052046
수원시,교습소,해창피아노,조창성,음악,031-255-4960,16454,경기도 수원시 팔달구 고등동 300번지 31,경기도 수원시 팔달구 갓매산로 86,37.2702077,127.0015628
수원시,교습소,장문학트럼펫,장문학,음악,,16446,경기도 수원시 팔달구 고등동 13-20번지,경기도 수원시 팔달구 고화로72번길 1,37.275713,127.0064449
수원시,교습소,안나피아노,김옥자,음악,031-243-0727,16447,경기도 수원시 팔달구 고등동 124-3번지,경기도 수원시 팔달구 고등로59번길 9,37.2736857,127.0034231
수원시,교습소,예림피아노,박성권,음악,031-245-3991,16447,경기도 수원시 팔달구 고등동 54-1번지,경기도 수원시 팔달구 고등로71번길 19-21,37.2741272,127.0040883
수원시,교습소,백영숙피아노,백영숙,음악,031-232-7694,16454,경기도 수원시 팔달구 고등동 87-8번지,경기도 수원시 팔달구 팔달로42번길 35,37.2723522,127.0036486
수원시,교습소,농천피아노,이희영,음악,031-246-3804,16454,경기도 수원시 팔달구 고등동 222-5번지,경기도 수원시 팔달구 팔달로48번길 18,37.272235,127.0018334
수원시,교습소,현은주피아노,현애,음악,031-243-8623,16448,경기도 수원시 팔달구 고등동 5-4번지 2층,경기도 수원시 팔달구 동말로 96-3,37.2785422,127.0047311
수원시,교습소,전애리성악,전애리,음악,031-255-1285,16446,경기도 수원시 팔달구 고등동 42-119번지,경기도 수원시 팔달구 고화로108번길 7-11,37.2791819,127.0073922
수원시,교습소,윤혜숙피아노,윤혜숙,음악,031-245-7488,16448,경기도 수원시 팔달구 고등동 5-7번지 3층,경기도 수원시 팔달구 동말로106번길 6,37.278344,127.0058136
수원시,교습소,들샘피아노,김천영,음악,031-245-1543,16445,경기도 수원시 팔달구 고등동 82-10번지,경기도 수원시 팔달구 고매로10번길 11,37.2702618,127.0053623
수원시,교습소,수잔리영어교습소,이봉숙,보습,,16447,경기도 수원시 팔달구 고등동 53-5번지 1층 일부,경기도 수원시 팔달구 고등로59번길 24,37.2743435,127.0035584
수원시,교습소,소리나라피아노교습소,정경희,음악,,16448,경기도 수원시 팔달구 고등동 5-2번지 경성하이빌 101호,경기도 수원시 팔달구 동말로 104,37.2785692,127.0055881
수원시,교습소,김숙례피아노,김숙례,음악,,16446,경기도 수원시 팔달구 고등동 42-97번지,경기도 수원시 팔달구 팔달산로 89-35,37.2776502,127.0069524
수원시,교습소,유영수주산,유영수,주산,,16448,경기도 수원시 팔달구 고등동 6-6번지,경기도 수원시 팔달구 동말로 96-6,37.2784071,127.0044492
수원시,교습소,뽀빠이올리브미술,박혜숙,미술,031-257-1997,16446,경기도 수원시 팔달구 고등동 42-97번지,경기도 수원시 팔달구 팔달산로 89-35,37.2776502,127.0069524
수원시,교습소,백은옥꽃꽃이,백은옥,꽃꽂이,,16454,경기도 수원시 팔달구 고등동 87-8번지,경기도 수원시 팔달구 팔달로42번길 35,37.2723522,127.0036486
수원시,교습소,신철자피아노,신철자,음악,,16453,경기도 수원시 팔달구 고등동 267-1번지,경기도 수원시 팔달구 팔달로 7-7,37.2702347,126.9991727
