stdr_ym,induty_nm,sexdstn_code,agrde_code,setle_cascnt,setle_amount
202101,한식,1,01,532,16571885
202101,한식,1,02,114328,3505999370
202101,한식,1,03,356410,10941412956
202101,한식,1,04,635087,20334597598
202101,한식,1,05,534371,17253687369
202101,한식,1,06,215463,6721233600
202101,한식,1,07,58019,1727295284
202101,한식,2,01,502,13770900
202101,한식,2,02,111778,3406552414
202101,한식,2,03,287834,8634842984
202101,한식,2,04,643359,19149897629
202101,한식,2,05,585038,17815850457
202101,한식,2,06,209914,6663992666
202101,한식,2,07,49226,1584247106
202101,일식,1,01,64,2146100
202101,일식,1,02,14051,549226967
202101,일식,1,03,33514,1463944567
202101,일식,1,04,47622,2212768564
202101,일식,1,05,37691,1788206255
202101,일식,1,06,12674,617670810
202101,일식,1,07,3426,148716887
202101,일식,2,01,60,2308500
202101,일식,2,02,15623,558592921
202101,일식,2,03,28881,1104719445
202101,일식,2,04,57430,2180848514
202101,일식,2,05,46935,1863625338
202101,일식,2,06,13876,596024091
202101,일식,2,07,3195,133280400
202101,중식,1,01,94,2291380
202101,중식,1,02,20218,470218047
202101,중식,1,03,66470,1620415752
202101,중식,1,04,118628,2840685335
202101,중식,1,05,81167,1903376613
202101,중식,1,06,26281,598352620
202101,중식,1,07,7100,166641071
202101,중식,2,01,96,2110870
202101,중식,2,02,18677,427188528
202101,중식,2,03,49374,1240023992
202101,중식,2,04,117676,2725044962
202101,중식,2,05,83940,1963166320
202101,중식,2,06,26813,654884974
202101,중식,2,07,7011,179677110
202101,양식,1,01,61,1686700
202101,양식,1,02,9418,306461200
202101,양식,1,03,22626,774494884
202101,양식,1,04,27397,945816022
202101,양식,1,05,20188,702085401
202101,양식,1,06,5460,191853710
202101,양식,1,07,1286,52596895
202101,양식,2,01,54,1579850
202101,양식,2,02,14777,464874343
202101,양식,2,03,26956,839289844
202101,양식,2,04,44212,1300666825
202101,양식,2,05,34066,999518567
202101,양식,2,06,8484,274663356
202101,양식,2,07,1553,57147158
202101,패스트푸드점,1,01,216,2092100
202101,패스트푸드점,1,02,37107,331420337
202101,패스트푸드점,1,03,110741,998312449
202101,패스트푸드점,1,04,146818,1500915412
202101,패스트푸드점,1,05,74693,755034208
202101,패스트푸드점,1,06,17822,163742900
202101,패스트푸드점,1,07,5205,48602190
202101,패스트푸드점,2,01,123,1302770
202101,패스트푸드점,2,02,31542,282681127
202101,패스트푸드점,2,03,105075,984392512
202101,패스트푸드점,2,04,203454,2088576089
202101,패스트푸드점,2,05,112144,1084456699
202101,패스트푸드점,2,06,29762,276983800
