참증번호,참증물품한글명,참증물품영문명,관련국가코드,등록번호(순서),등록번호,동록일자,상표참증자료제공처명,국제기구분류코드,국제기구명,탑재근거명,도형이미지존재유무,언어구분코드,시도국적명,탑재근거내용,원산지명구분코드,등록자성명,생산지역명,농산물품질관리구분코드,원산지국가명,생산지역명추가,원산지명공개일자,종류구분코드(FTA),라틴어명(FTA),국가번호(FTA)
320160000000,쿄 쿄토에서 유래한 제법으로 쿄토부에서 생산된 제사/종교의식 용품,京神具(KYO RITUAL ARTICLE),JP,1,5739529,,,,,일본 지역 단체 상표,,,일본,한일간 '지리적 표시 목록 교환을 위한 협력각서'체결에 의한 교환 목록,R3020,京都神祇調度束協同組合,きょう（京都府京都市）,0,,きょう（京都府京都市）,,,,
320160000000,니치난 토마토,日南トマト(NICHINAN TOMATO),JP,1,5773470,,,,,일본 지역 단체 상표,,,일본,한일간 '지리적 표시 목록 교환을 위한 협력각서'체결에 의한 교환 목록,R3020,鳥取西部農業協同組合,にちなん（鳥取日野郡日南町）,0,,にちなん（鳥取日野郡日南町）,,,,
320160000000,아오모리 마늘,森のにんにく(AOMORI BLACK GARLIC),JP,1,5777236,,,,,일본 지역 단체 상표,,,일본,한일간 '지리적 표시 목록 교환을 위한 협력각서'체결에 의한 교환 목록,R3020,協同組合森にんにく協,あおもり（森）,0,,あおもり（森）,,,,
320170000000,장수오미자,JANGSU OMIJA,KR,1,52,2016-02-15,,,,농산물품질관리법,,,대한민국,,R3020,장수군산림조합,전라북도 장수군 장수읍,R4020,,전라북도 장수군 장수읍,,,,
320170000000,영월곤드레,YEONGWOL GONDRE,KR,1,51,2014-10-21,,,,농산물품질관리법,,,대한민국,,R3020,영월산채영농조합법인,강원 영월군 남면,R4020,,강원 영월군 남면,,,,
320160000000,오오초오 귤,大長みかん(OCHO MANDARIN ORANGE),JP,1,5765528,,,,,일본 지역 단체 상표,,,일본,한일간 '지리적 표시 목록 교환을 위한 협력각서'체결에 의한 교환 목록,R3020,島ゆたか農業協同組合,おおちょう（島市豊町大長地）,0,,おおちょう（島市豊町大長地）,,,,
320160000000,요코하마 해삼,浜なまこ(YOKOHAMA SEA CUCUMBER),JP,1,5788939,,,,,일본 지역 단체 상표,,,일본,한일간 '지리적 표시 목록 교환을 위한 협력각서'체결에 의한 교환 목록,R3020,浜町漁業協同組合,よこはま（森浜町）,0,,よこはま（森浜町）,,,,
320160000000,아라오 배,荒尾梨(ARAO PEAR),JP,1,5814034,,,,,일본 지역 단체 상표,,,일본,한일간 '지리적 표시 목록 교환을 위한 협력각서'체결에 의한 교환 목록,R3020,玉名農業協同組合,あらお（熊本荒尾市）,0,,あらお（熊本荒尾市）,,,,
320160000000,고흥김,,KR,1,21,2015-05-18,,,,농산물품질관리법,,,대한민국,,R3020,고흥군마름김영어조합법인,전라남도 고흥군 풍양면 천마로 1525,R4030,,전라남도 고흥군 풍양면 천마로 1525,,,,
320160000000,쿄 쿄토에서 유래한 제법으로 쿄토부에서 생산된 의복,京束(KYO COSTUME),JP,1,5739528,,,,,일본 지역 단체 상표,,,일본,한일간 '지리적 표시 목록 교환을 위한 협력각서'체결에 의한 교환 목록,R3020,京都神祇調度束協同組合,きょう（京都府京都市）,0,,きょう（京都府京都市）,,,,
320080000000,하동녹차,HADONG GREEN TEA,KR,1,2,2003-05-02,,,,농수산물품질관리법,0,,대한민국,,R3020,하동차영농조합법인,경남 하동군,R4010,,경남 하동군,,,,
320080000000,의성마늘,UISEONG GARLIC,KR,1,6,2005-07-18,,,,농수산물품질관리법,0,,대한민국,,R3020,의성마늘생산자단체협의회영농조합법인,경북 의성군,R4010,,경북 의성군,,,,
320080000000,성주참외,SEONGJU CHAMOE,KR,1,10,2005-12-01,,,,농수산물품질관리법,0,,대한민국,,R3020,성주참외생산자단체협의회영농조합법인,경북 성주군,R4010,,경북 성주군,,,,
320080000000,고흥유자,GOHEUNG YUJA,KR,1,14,2006-05-08,,,,농수산물품질관리법,0,,대한민국,,R3020,고흥유자연합회영농조합법인,전남 고흥군,R4010,,전남 고흥군,,,,
320080000000,창녕양파,CHANGNYEONG ONION,KR,1,30,2007-06-05,,,,농수산물품질관리법,0,,대한민국,,R3020,창녕명품양파 영농조합법인,경남 창녕군,R4010,,경남 창녕군,,,,
320080000000,진부당귀,CHINBU DANGUI (ANGELICA GIGAS NAKAI),KR,1,38,2007-10-01,,,,농수산물품질관리법,0,,대한민국,,R3020,진부당귀생산자단체영농조합법인,강원도 평창군 진부면 전역, 도암면 서부지역, 용평면 전역,, 도암면 서부지역, 용평면 전역, 봉평면 동부지역, 대화면 북부지역의 해발고도 400m 이상 지역
320080000000,함안수박,HAMAN WATERMELON,KR,1,46,2008-04-07,,,,농수산물품질관리법,0,,대한민국,,R3020,함안수박영농조합법인,경남 함안군,R4010,,경남 함안군,,,,
320080000000,고려인삼제품,KOREAN GINSENG PRODUCTS,KR,1,47,2008-06-16,,,,농수산물품질관리법,0,,대한민국,,R3020,(사)고려인삼연합회,대한민국,R4010,,대한민국,,,,
320080000000,장흥표고버섯,JANGHEUNG OAK-MUSHROOM,KR,1,2,2006-05-16,,,,농수산물품질관리법,0,,대한민국,,R3020,정남진장흥표고버섯연합회, 전남 장흥군 장흥읍 토요시장 3길 5,R4020,, 전남 장흥군 장흥읍 토요시장 3길 5,,,,
320080000000,울릉도미역취,ULLEUNGDO MIYEOKCHWI,KR,1,6,2006-12-15,,,,농수산물품질관리법,0,,대한민국,,R3020,울릉농업협동조합,경북 울릉군,R4020,,경북 울릉군,,,,
