명칭,주소,전화번호,재고량,위도,경도,데이터기준일
내트럭 인천,인천 중구 축항대로 296번길 183,032-891-7800,0,37.43169560,126.6238205,2021-11-22 18:00
내트럭 광양,전남 광양시 중마로 15,061-795-0111,0,34.92679750,127.6859682,2021-11-22 18:00
내트럭 광양 황금,전남 광양시 항만대로 200,061-795-9806,0,34.89613960,127.6379158,2021-11-22 18:00
내트럭 평택,경기 평택시 포승읍 하만호길 229,032-684-1201,0,36.95436850,126.8502386,2021-11-22 18:00
내트럭 울산신항,울산 남구 신항로 716번길 13,052-947-6500,0,35.46050360,129.3647834,2021-11-22 18:00
부산(북항) 우암,부산 남구 우암로 204,051-644-0142,700,35.12495970,129.0746215,2021-11-22 18:00
부산(신항) 보배산,경남 창원시 진해구 진해대로 2170,055-551-0098,0,35.11482140,128.8026283,2021-11-22 18:00
부산(신항) 남송,경남 창원시 진해구 진해대로 2455,055-552-5145,420,35.10246030,128.8256138,2021-11-22 18:00
인천 광역 만석점,인천 동구 인중로 441,032-761-5149,"2,370",37.48746690,126.6223249,2021-11-22 18:00
인천 갤러리,인천 동구 인중로 431,032-772-2031,"3,600",37.48726630,126.6211871,2021-11-22 18:00
인천 알뜰 부광,인천 중구 인중로 180,032-765-5145,0,37.46891610,126.6242628,2021-11-22 18:00
인천 동양 오일캠프,인천 중구 축항대로 282,032-888-2066,0,37.44759120,126.6268372,2021-11-22 18:00
광양 고향,전남 광양시 백운로 1027,061-792-6060,0,34.94259970,127.6815858,2021-11-22 18:00
광양 시원 태양,전남 광양시 백운로 965,061-791-5188,0,34.94706950,127.6775718,2021-11-22 18:00
평택 만호,평택시 포승읍 서동대로 771,031-681-1800,0,36.95919260,126.8561340,2021-11-22 18:00
평택 포승행복,평택시 포승읍 포승공단로 68,031-681-5022,500,36.97789620,126.8433576,2021-11-22 18:00
내트럭 울산,울산 남구 산업로 100,052-998-8484,670,35.50596690,129.3199802,2021-11-22 18:00
내트럭 울산약수,울산 북구 산업로 1515,052-946-2200,"1,800",35.64428700,129.3407404,2021-11-22 18:00
내트럭 여수,전남 여수시 여수산단로 140,070-8740-2803,0,34.79770420,127.6624527,2021-11-22 18:00
내트럭 김해,경남 김해시 진영읍 김해대로 243,055-903-2600,600,35.30663250,128.7158610,2021-11-22 18:00
첨단용두,광주 북구 빛고을대로 663,062-572-5189,0,35.22111280,126.8688410,2021-11-22 18:00
울주(울산방향),울산 울주군 삼동면 보은리 산213-15,052-977-2243,"1,920",35.51060730,129.1305235,2021-11-22 18:00
울주(함양방향),울산 울주군 삼동면 보은리 산192-3,052-977-3243,"1,850",35.51326490,129.1281896,2021-11-22 18:00
구리(일산방향),경기도 구리시 수도권 제1순환도로 32,031-555-0740,0,37.62800602,127.1391937,2021-11-22 18:00
안성(서울방향),경기도 안성시 원곡면 경부고속도로 372,031-664-4096,"1,300",37.07678380,127.1324553,2021-11-22 18:00
이천(통영방향),경기도 이천시 마장면 중부대로609번길 244-35,031-637-0401,138,37.26462620,127.4036945,2021-11-22 18:00
평택(제천방향),경기도 평택시 청북읍 평택제천고속도로 6,070-4172-8087,"3,100",37.04493678,126.9468531,2021-11-22 18:00
평택(평택방향),경기도 평택시 청북읍 평택제천고속도로 6,070-4172-8085,"2,800",37.04521081,126.9436774,2021-11-22 18:00
