순위,종목명,종가,대비,등락률,거래량,거래대금,시가총액,시가총액 비중,상장주식수
1,삼성전자,"58,700",-200,-0.34,"3,304,862","194,526,414,800","350,426,235,685,000",18.8,"5,969,782,550"
2,LG에너지솔루션,"537,000","-26,000",-4.62,"209,386","114,056,227,000","125,658,000,000,000",6.74,"234,000,000"
3,삼성바이오로직스,"821,000","-10,000",-1.2,"14,110","11,647,933,000","58,433,854,000,000",3.13,"71,174,000"
4,SK하이닉스,"78,800",-100,-0.13,"890,008","70,395,421,800","57,366,586,362,000",3.08,"728,002,365"
5,삼성SDI,"697,000","-11,000",-1.55,"56,172","39,615,214,000","47,928,877,410,000",2.57,"68,764,530"
6,LG화학,"667,000","-12,000",-1.77,"50,836","34,335,039,000","47,085,092,781,000",2.53,"70,592,343"
7,삼성전자우,"53,300",-300,-0.56,"250,265","13,323,799,500","43,859,861,110,000",2.35,"822,886,700"
8,현대차,"161,000","-2,000",-1.23,"175,285","28,367,426,000","34,400,578,107,000",1.85,"213,668,187"
9,NAVER,"182,500","-1,000",-0.54,"178,107","32,686,114,500","29,938,958,012,500",1.61,"164,049,085"
10,기아,"64,800",-200,-0.31,"231,578","15,039,212,000","26,267,544,885,600",1.41,"405,363,347"
11,셀트리온,"175,500","1,000",0.57,"95,595","16,783,658,000","24,711,314,355,000",1.33,"140,805,210"
12,카카오,"55,100",-400,-0.72,"356,679","19,778,681,800","24,542,112,323,700",1.32,"445,410,387"
13,POSCO홀딩스,"285,000","-5,000",-1.72,"119,758","34,332,985,500","24,102,800,550,000",1.29,"84,571,230"
14,삼성물산,"117,000","1,000",0.86,"68,940","8,066,099,500","21,865,788,477,000",1.17,"186,887,081"
15,KB금융,"50,800",0,0,"439,655","22,316,161,000","20,771,971,054,400",1.11,"408,897,068"
16,현대모비스,"206,500","-1,000",-0.48,"47,809","9,924,816,500","19,469,871,911,000",1.04,"94,285,094"
17,신한지주,"37,400",150,0.4,"313,560","11,760,008,850","19,028,554,100,600",1.02,"508,784,869"
18,포스코케미칼,"204,500","-4,500",-2.15,"167,557","34,645,832,000","15,841,228,490,000",0.85,"77,463,220"
19,SK이노베이션,"164,000",-500,-0.3,"93,077","15,366,743,500","15,164,352,496,000",0.81,"92,465,564"
20,SK,"201,500","-2,500",-1.23,"43,192","8,728,572,000","14,941,089,793,500",0.8,"74,149,329"
21,LG전자,"89,100","-1,200",-1.33,"287,453","25,811,623,600","14,581,020,227,400",0.78,"163,647,814"
22,삼성생명,"72,400","1,800",2.55,"285,269","20,629,849,200","14,480,000,000,000",0.78,"200,000,000"
23,KT&amp;G,"98,000",200,0.2,"97,647","9,579,499,600","13,454,664,706,000",0.72,"137,292,497"
24,하나금융지주,"44,050",-50,-0.11,"334,402","14,746,040,855","13,034,548,117,800",0.7,"295,903,476"
25,카카오뱅크,"26,850",50,0.19,"1,093,112","29,666,143,700","12,799,769,208,450",0.69,"476,713,937"
26,한국전력,"19,600",-200,-1.01,"214,696","4,196,557,400","12,582,495,909,200",0.68,"641,964,077"
27,LG,"79,400",900,1.15,"44,626","3,537,314,700","12,489,698,844,200",0.67,"157,300,993"
28,고려아연,"607,000","2,000",0.33,"12,997","7,855,021,000","12,056,936,906,000",0.65,"19,863,158"
