,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
,,,,,,,,,
1,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2021.12),2.02205E+13,셀트리온,20220512,연
2,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2020.12),2.02205E+13,셀트리온,20220512,연
3,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2019.12),2.02205E+13,셀트리온,20220512,연
4,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2018.12),2.02205E+13,셀트리온,20220512,연
5,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2017.12),2.02205E+13,셀트리온,20220512,연
6,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2016.12),2.02205E+13,셀트리온,20220512,연
7,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2015.12),2.01605E+13,셀트리온,20160513,연
8,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2014.12),2.01505E+13,셀트리온,20150515,연
9,413046,셀트리온,68270,Y,사업보고서 (2013.12),2.01403E+13,셀트리온,20140331,연
10,413046,셀트리온,68270,Y,[기재정정]사업보고서 (2012.12),2.01305E+13,셀트리온,20130530,연
11,688996,KB금융,105560,Y,[기재정정]사업보고서 (2021.12),2.02203E+13,KB금융,20220325,연
12,688996,KB금융,105560,Y,[기재정정]사업보고서 (2020.12),2.02104E+13,KB금융,20210427,연
13,688996,KB금융,105560,Y,[기재정정]사업보고서 (2019.12),2.02104E+13,KB금융,20210427,연
14,688996,KB금융,105560,Y,[기재정정]사업보고서 (2018.12),2.02104E+13,KB금융,20210427,연
15,688996,KB금융,105560,Y,[기재정정]사업보고서 (2017.12),2.02104E+13,KB금융,20210427,연
16,688996,KB금융,105560,Y,사업보고서 (2016.12),2.01703E+13,KB금융,20170331,연
17,688996,KB금융,105560,Y,[첨부정정]사업보고서 (2015.12),2.01604E+13,KB금융,20160401,연
18,688996,KB금융,105560,Y,[기재정정]사업보고서 (2014.12),2.01505E+13,KB금융,20150522,연
19,688996,KB금융,105560,Y,사업보고서 (2013.12),2.01403E+13,KB금융,20140331,연
20,688996,KB금융,105560,Y,사업보고서 (2012.12),2.01303E+13,KB금융,20130329,연
21,1390344,현대중공업,329180,Y,사업보고서 (2021.12),2.02203E+13,현대중공업,20220314,연
22,1390344,현대중공업,329180,Y,사업보고서 (2020.12),2.02104E+13,현대중공업,20210401,연
23,149655,삼성물산,28260,Y,사업보고서 (2021.12),2.02203E+13,삼성물산,20220310,연
24,149655,삼성물산,28260,Y,사업보고서 (2020.12),2.02103E+13,삼성물산,20210311,연
25,149655,삼성물산,28260,Y,사업보고서 (2019.12),2.02003E+13,삼성물산,20200330,연
26,149655,삼성물산,28260,Y,[기재정정]사업보고서 (2018.12),2.01904E+13,삼성물산,20190401,연
27,149655,삼성물산,28260,Y,사업보고서 (2017.12),2.01804E+13,삼성물산,20180402,연
28,149655,삼성물산,28260,Y,사업보고서 (2016.12),2.01703E+13,삼성물산,20170331,연
29,149655,삼성물산,28260,Y,사업보고서 (2015.12),2.01603E+13,삼성물산,20160330,연
30,149655,삼성물산,28260,Y,사업보고서 (2014.12),2.01503E+13,삼성물산,20150331,연
31,149655,삼성물산,28260,Y,[기재정정]사업보고서 (2013.12),2.01405E+13,삼성물산,20140515,연
32,126256,삼성생명,32830,Y,사업보고서 (2021.12),2.02203E+13,삼성생명,20220308,연
33,126256,삼성생명,32830,Y,사업보고서 (2020.12),2.02103E+13,삼성생명,20210310,연
34,126256,삼성생명,32830,Y,사업보고서 (2019.12),2.02003E+13,삼성생명,20200330,연
35,126256,삼성생명,32830,Y,사업보고서 (2018.12),2.01904E+13,삼성생명,20190401,연
36,126256,삼성생명,32830,Y,사업보고서 (2017.12),2.01804E+13,삼성생명,20180402,연
37,126256,삼성생명,32830,Y,사업보고서 (2016.12),2.01703E+13,삼성생명,20170331,연
38,126256,삼성생명,32830,Y,사업보고서 (2015.12),2.01603E+13,삼성생명,20160330,연
